open,close,low,high,avgGas,timestamp
5.99,9.68,4.25,16.92,92232.94520000003,2022-09-12T10:00:01.499Z
52.97,5.54,4.13,56.33,88143.43826666666,2022-09-12T11:00:03.234Z
20.0,50.99,10.66,56.16,82982.46142166665,2022-09-12T12:00:04.915Z
18.26,26.96,13.32,37.13,84544.98935333332,2022-09-12T13:00:06.988Z
30.83,16.97,12.73,91.76,89251.97149666668,2022-09-12T14:00:10.398Z
40.25,27.34,15.0,139.58,81737.41613166664,2022-09-12T15:00:12.028Z
25.15,38.31,15.14,69.19,86377.21202166667,2022-09-12T16:00:13.654Z
31.23,17.56,12.0,54.36,93564.793935,2022-09-12T17:00:15.725Z
8.69,23.58,6.83,35.55,94469.06820166667,2022-09-12T18:00:17.939Z
23.78,9.76,7.89,32.92,86892.35663166665,2022-09-12T19:00:19.694Z
38.3,22.18,11.5,52.36,89994.52047666667,2022-09-12T20:00:21.497Z
12.36,34.74,9.17,40.7,104240.93165166667,2022-09-12T21:00:23.297Z
17.66,11.41,10.47,66.85,102442.88604666667,2022-09-12T22:00:25.006Z
10.64,20.37,6.95,31.63,95097.62995500003,2022-09-12T23:00:26.632Z
7.85,9.56,5.82,17.22,92018.9279916667,2022-09-13T00:00:28.297Z
8.46,8.95,5.81,15.06,89241.97760666664,2022-09-13T01:00:29.745Z
13.08,6.67,6.67,19.07,95221.85626833334,2022-09-13T02:00:31.127Z
9.15,12.0,5.2,14.61,108762.3549827586,2022-09-13T03:00:32.788Z
5.52,6.92,4.02,12.36,103331.38435666675,2022-09-13T04:00:09.976Z
9.0,5.61,4.0,15.75,104324.61059666668,2022-09-13T05:00:11.555Z
7.56,8.01,3.86,11.36,119276.14247999997,2022-09-13T06:00:13.047Z
5.96,7.24,4.74,13.23,90156.38077833333,2022-09-13T07:00:14.503Z
14.25,5.84,4.74,16.0,88226.46436166667,2022-09-13T08:00:15.988Z
9.81,12.0,7.87,36.97,75910.22953166669,2022-09-13T09:00:17.878Z
7.88,11.01,3.6,11.45,87207.87555,2022-09-13T10:00:19.334Z
5.92,8.97,4.39,17.77,95892.39225833333,2022-09-13T11:00:20.810Z
86.24,9.05,6.95,97.53,89376.65778666665,2022-09-13T12:00:22.312Z
23.68,73.98,21.4,94.72,78494.14827166665,2022-09-13T13:00:23.966Z
35.76,28.58,13.76,51.54,80058.92048166666,2022-09-13T14:00:25.469Z
14.15,39.15,11.15,44.44,90283.33026333334,2022-09-13T15:00:26.984Z
16.54,13.19,11.52,377.06,83899.40993166665,2022-09-13T16:00:28.665Z
11.96,14.13,8.0,23.87,84962.42384833335,2022-09-13T17:00:30.234Z
32.54,22.29,9.55,51.01,88994.37086333333,2022-09-13T18:00:31.928Z
19.18,26.17,18.02,65.44,85941.36209666668,2022-09-13T19:00:34.214Z
10.6,20.78,8.99,47.3,90604.51932666666,2022-09-13T20:00:35.652Z
36.37,15.1,9.19,43.84,98947.1996733333,2022-09-13T21:00:37.049Z
11.28,31.58,9.11,32.51,101543.73595499998,2022-09-13T22:00:38.572Z
12.71,9.62,6.6,16.57,98050.02901333335,2022-09-13T23:00:40.965Z
10.1,13.0,8.0,24.73,87381.68619999997,2022-09-14T00:00:42.342Z
6.1,9.74,5.0,15.84,93612.4605416667,2022-09-14T01:00:44.044Z
12.81,7.54,5.0,17.07,94596.7618883333,2022-09-14T02:00:45.497Z
