open,close,low,high,avgGas,timestamp
51.4,50.4,30.29,63.05,80868.51904583334,2022-04-26T13:34:21.641Z
74.98,49.44,36.89,119.41,85449.25679137932,2022-04-26T14:00:09.549Z
59.35,72.77,42.23,121.54,82192.41372222222,2022-04-26T15:00:08.630Z
82.82,70.25,36.0,98.47,82451.7868,2022-04-26T16:01:05.379Z
68.5,59.61,27.36,84.83,84236.446559322,2022-04-26T17:00:58.575Z
51.39,59.64,37.0,88.83,81300.71595666665,2022-04-26T18:00:02.576Z
61.11,40.04,40.04,112.23,86320.35802999999,2022-04-26T19:00:06.222Z
61.53,61.0,36.76,119.18,88508.81200333333,2022-04-26T20:00:08.945Z
43.44,53.7,32.28,90.45,88223.1424966102,2022-04-26T21:00:36.470Z
42.55,49.07,30.86,62.08,94214.347745,2022-04-26T22:00:48.675Z
84.51,56.06,27.84,109.23,98778.61094166664,2022-04-26T23:00:51.726Z
42.7,81.98,34.31,107.08,95582.75494999996,2022-04-27T00:00:54.216Z
32.53,35.92,25.85,69.01,92297.04912833334,2022-04-27T01:00:56.555Z
38.76,42.45,27.65,93.87,81786.55047288135,2022-04-27T02:00:58.526Z
61.7,51.78,26.18,82.95,82943.77078166668,2022-04-27T03:00:01.080Z
37.46,44.24,24.23,60.25,92405.00323833332,2022-04-27T04:00:03.672Z
30.6,37.14,23.83,46.7,98584.27896440684,2022-04-27T05:00:41.592Z
39.04,38.29,24.06,49.21,89769.72652166669,2022-04-27T06:00:15.583Z
47.79,39.12,23.0,47.87,95678.78294666666,2022-04-27T07:00:18.437Z
32.28,41.39,24.0,64.22,106530.3199016667,2022-04-27T08:00:20.853Z
28.49,30.48,21.78,36.78,94023.51435166669,2022-04-27T09:00:23.138Z
25.31,25.69,21.5,46.34,92430.50602166665,2022-04-27T10:00:27.672Z
36.71,36.09,22.07,52.69,86709.07411833334,2022-04-27T11:00:52.146Z
36.66,33.07,21.63,53.4,101573.79375833333,2022-04-27T12:00:55.543Z
41.29,32.19,26.0,68.57,81365.32691694915,2022-04-27T13:00:58.195Z
38.61,40.21,29.98,76.36,83028.96312999999,2022-04-27T14:00:01.199Z
51.91,52.33,29.1,89.06,83665.63847999998,2022-04-27T15:00:05.187Z
40.39,39.83,29.24,79.43,86066.48187,2022-04-27T16:00:08.683Z
72.89,47.07,45.99,800.0,80675.52349000002,2022-04-27T17:00:11.759Z
